,timestamp,False,True,Anomaly
48,2022-06-03T13:18:10Z,3.0,14.0,True
49,2022-06-03T13:18:10Z,3.0,14.0,True
50,2022-06-03T13:18:10Z,3.0,14.0,True
489,2022-06-03T13:20:37Z,5.0,10.0,True
490,2022-06-03T13:20:37Z,5.0,10.0,True
491,2022-06-03T13:20:37Z,5.0,10.0,True
639,2022-06-03T13:21:27Z,6.0,8.0,True
640,2022-06-03T13:21:27Z,6.0,8.0,True
641,2022-06-03T13:21:27Z,6.0,8.0,True
978,2022-06-03T13:23:20Z,6.0,8.0,True
979,2022-06-03T13:23:20Z,6.0,8.0,True
980,2022-06-03T13:23:20Z,6.0,8.0,True
999,2022-06-03T13:23:27Z,5.0,10.0,True
1000,2022-06-03T13:23:27Z,5.0,10.0,True
1001,2022-06-03T13:23:27Z,5.0,10.0,True
1002,2022-06-03T13:23:28Z,6.0,8.0,True
1003,2022-06-03T13:23:28Z,6.0,8.0,True
1004,2022-06-03T13:23:28Z,6.0,8.0,True
1635,2022-06-03T13:26:59Z,6.0,8.0,True
1636,2022-06-03T13:26:59Z,6.0,8.0,True
1637,2022-06-03T13:26:59Z,6.0,8.0,True
1638,2022-06-03T13:27:00Z,6.0,8.0,True
1639,2022-06-03T13:27:00Z,6.0,8.0,True
1640,2022-06-03T13:27:00Z,6.0,8.0,True
1653,2022-06-03T13:27:05Z,6.0,8.0,True
1654,2022-06-03T13:27:05Z,6.0,8.0,True
1655,2022-06-03T13:27:05Z,6.0,8.0,True
1659,2022-06-03T13:27:07Z,6.0,8.0,True
1660,2022-06-03T13:27:07Z,6.0,8.0,True
1661,2022-06-03T13:27:07Z,6.0,8.0,True
1671,2022-06-03T13:27:11Z,6.0,8.0,True
1672,2022-06-03T13:27:11Z,6.0,8.0,True
1673,2022-06-03T13:27:11Z,6.0,8.0,True
2016,2022-06-03T13:29:06Z,4.0,12.0,True
2017,2022-06-03T13:29:06Z,4.0,12.0,True
2018,2022-06-03T13:29:06Z,4.0,12.0,True
4317,2022-06-03T13:41:53Z,4.0,12.0,True
4318,2022-06-03T13:41:53Z,4.0,12.0,True
4319,2022-06-03T13:41:53Z,4.0,12.0,True
4320,2022-06-03T13:41:54Z,3.0,14.0,True
4321,2022-06-03T13:41:54Z,3.0,14.0,True
4322,2022-06-03T13:41:54Z,3.0,14.0,True
4374,2022-06-03T13:42:12Z,5.0,10.0,True
4375,2022-06-03T13:42:12Z,5.0,10.0,True
4376,2022-06-03T13:42:12Z,5.0,10.0,True
4377,2022-06-03T13:42:13Z,6.0,8.0,True
4378,2022-06-03T13:42:13Z,6.0,8.0,True
4379,2022-06-03T13:42:13Z,6.0,8.0,True
4428,2022-06-03T13:42:30Z,6.0,8.0,True
4429,2022-06-03T13:42:30Z,6.0,8.0,True
4430,2022-06-03T13:42:30Z,6.0,8.0,True
4521,2022-06-03T13:43:01Z,3.0,14.0,True
4522,2022-06-03T13:43:01Z,3.0,14.0,True
4523,2022-06-03T13:43:01Z,3.0,14.0,True
4524,2022-06-03T13:43:02Z,6.0,8.0,True
4525,2022-06-03T13:43:02Z,6.0,8.0,True
4526,2022-06-03T13:43:02Z,6.0,8.0,True
4794,2022-06-03T13:44:32Z,6.0,8.0,True
4795,2022-06-03T13:44:32Z,6.0,8.0,True
4796,2022-06-03T13:44:32Z,6.0,8.0,True
4809,2022-06-03T13:44:37Z,3.0,14.0,True
4810,2022-06-03T13:44:37Z,3.0,14.0,True
4811,2022-06-03T13:44:37Z,3.0,14.0,True
4914,2022-06-03T13:45:12Z,6.0,8.0,True
4915,2022-06-03T13:45:12Z,6.0,8.0,True
4916,2022-06-03T13:45:12Z,6.0,8.0,True
5670,2022-06-03T13:49:24Z,6.0,8.0,True
5671,2022-06-03T13:49:24Z,6.0,8.0,True
5672,2022-06-03T13:49:24Z,6.0,8.0,True
5673,2022-06-03T13:49:25Z,5.0,10.0,True
5674,2022-06-03T13:49:25Z,5.0,10.0,True
5675,2022-06-03T13:49:25Z,5.0,10.0,True
5718,2022-06-03T13:49:40Z,4.0,12.0,True
5719,2022-06-03T13:49:40Z,4.0,12.0,True
5720,2022-06-03T13:49:40Z,4.0,12.0,True
5721,2022-06-03T13:49:41Z,6.0,8.0,True
5722,2022-06-03T13:49:41Z,6.0,8.0,True
5723,2022-06-03T13:49:41Z,6.0,8.0,True
5730,2022-06-03T13:49:44Z,6.0,8.0,True
5731,2022-06-03T13:49:44Z,6.0,8.0,True
5732,2022-06-03T13:49:44Z,6.0,8.0,True
5868,2022-06-03T13:50:30Z,5.0,10.0,True
5869,2022-06-03T13:50:30Z,5.0,10.0,True
5870,2022-06-03T13:50:30Z,5.0,10.0,True
